# REM-INV-4A LIVE policies referencing auth helpers 2026-09-13T15:14:33.726Z (n=168)
schema	table	policy	permissive	roles	command	qual	with_check
public	abc_classifications	abc_delete	PERMISSIVE	{authenticated}	DELETE	has_store_access(store_id)	
public	abc_classifications	abc_insert	PERMISSIVE	{authenticated}	INSERT		has_store_access(store_id)
public	abc_classifications	abc_select	PERMISSIVE	{authenticated}	SELECT	has_store_access(store_id)	
public	audit_logs	audit_logs_select_own_and_managed	PERMISSIVE	{authenticated}	SELECT	(is_global_admin() OR ((store_id IS NOT NULL) AND has_store_role(store_id, ARRAY['admin'::text, 'manager'::text, 'encargado'::text])))	
public	bank_statement_items	bsi_insert	PERMISSIVE	{authenticated}	INSERT		(EXISTS ( SELECT 1 |    FROM bank_statements bs |   WHERE ((bs.id = bank_statement_items.bank_statement_id) AND has_store_access(bs.store_id))))
public	bank_statement_items	bsi_select	PERMISSIVE	{authenticated}	SELECT	(EXISTS ( SELECT 1 |    FROM bank_statements bs |   WHERE ((bs.id = bank_statement_items.bank_statement_id) AND has_store_access(bs.store_id))))	
public	bank_statement_items	bsi_update	PERMISSIVE	{authenticated}	UPDATE	(EXISTS ( SELECT 1 |    FROM bank_statements bs |   WHERE ((bs.id = bank_statement_items.bank_statement_id) AND has_store_access(bs.store_id))))	
public	bank_statements	bs_delete	PERMISSIVE	{authenticated}	DELETE	has_store_access(store_id)	
public	bank_statements	bs_insert	PERMISSIVE	{authenticated}	INSERT		has_store_access(store_id)
public	bank_statements	bs_select	PERMISSIVE	{authenticated}	SELECT	has_store_access(store_id)	
public	bank_statements	bs_update	PERMISSIVE	{authenticated}	UPDATE	has_store_access(store_id)	
public	bulk_ops_log	bulk_ops_log_tenant_select	PERMISSIVE	{authenticated}	SELECT	 | CASE |     WHEN (current_setting('app.use_tenant_rls'::text, true) = 'true'::text) THEN (tenant_id = current_user_tenant_id()) |     ELSE is_admin() | END	
public	cash_closures	Cash closures unified	PERMISSIVE	{authenticated}	ALL	has_store_access(store_id)	
public	cash_closures	cash_closures_tenant_insert_with_check	PERMISSIVE	{authenticated}	INSERT		(store_id = ANY (current_user_store_ids()))
public	cash_movements	Cash movements access	PERMISSIVE	{authenticated}	SELECT	(EXISTS ( SELECT 1 |    FROM cash_register_sessions s |   WHERE ((s.id = cash_movements.session_id) AND has_store_access(s.store_id))))	
public	cash_movements	Cash movements insert	PERMISSIVE	{authenticated}	INSERT		(EXISTS ( SELECT 1 |    FROM cash_register_sessions s |   WHERE ((s.id = cash_movements.session_id) AND has_store_access(s.store_id))))
public	cash_register_sessions	Cash sessions unified	PERMISSIVE	{authenticated}	ALL	has_store_access(store_id)	
public	categories	categories_store_access	PERMISSIVE	{authenticated}	ALL	((store_id IS NULL) OR has_store_access(store_id))	
public	commission_payments	commission_payments_tenant_select	PERMISSIVE	{authenticated}	SELECT	 | CASE |     WHEN (current_setting('app.use_tenant_rls'::text, true) = 'true'::text) THEN ((tenant_id = current_user_tenant_id()) AND (is_admin() OR (store_id = ANY (current_user_store_ids())))) |     ELSE (is_admin() OR (store_id = ANY (current_user_store_ids()))) | END	
public	commission_reception_links	commission_reception_links_delete_admin	PERMISSIVE	{authenticated}	DELETE	(is_global_admin() OR (EXISTS ( SELECT 1 |    FROM receipts r |   WHERE ((r.id = commission_reception_links.receipt_id) AND has_store_role(r.store_id, ARRAY['admin'::text, 'manager'::text])))))	
public	commission_reception_links	commission_reception_links_insert_admin	PERMISSIVE	{authenticated}	INSERT		(is_global_admin() OR (EXISTS ( SELECT 1 |    FROM receipts r |   WHERE ((r.id = commission_reception_links.receipt_id) AND has_store_role(r.store_id, ARRAY['admin'::text, 'manager'::text])))))
public	commission_rules	commission_rules_tenant_select	PERMISSIVE	{authenticated}	SELECT	 | CASE |     WHEN (current_setting('app.use_tenant_rls'::text, true) = 'true'::text) THEN ((tenant_id = current_user_tenant_id()) AND (is_admin() OR (store_id = ANY (current_user_store_ids())))) |     ELSE (is_admin() OR (store_id = ANY (current_user_store_ids()))) | END	
public	cost_sheet_templates	Templates delete	PERMISSIVE	{authenticated}	DELETE	is_admin()	
public	cost_sheet_templates	Templates insert	PERMISSIVE	{authenticated}	INSERT		is_admin()
public	cost_sheet_templates	Templates update	PERMISSIVE	{authenticated}	UPDATE	is_admin()	is_admin()
public	cost_sheet_templates	Templates visibility	PERMISSIVE	{public}	SELECT	((type = 'system'::text) OR is_admin() OR ((type = 'public'::text) AND ((store_id IS NULL) OR has_store_access(store_id))) OR ((type = 'private'::text) AND (created_by = auth.uid())))	
public	cost_sheets	cost_sheets_selective_read	PERMISSIVE	{authenticated}	SELECT	(is_admin() OR (created_by = auth.uid()) OR (EXISTS ( SELECT 1 |    FROM (profiles p_me |      JOIN profiles p_creator ON ((p_me.tenant_id = p_creator.tenant_id))) |   WHERE ((p_me.id = auth.uid()) AND (p_creator.id = cost_sheets.created_by) AND (p_me.tenant_id IS NOT NULL)))))	
public	customers	customers_delete_own_store	PERMISSIVE	{authenticated}	DELETE	has_store_access(store_id)	
public	customers	customers_insert_own_store	PERMISSIVE	{authenticated}	INSERT		has_store_access(store_id)
public	customers	customers_select_own_store	PERMISSIVE	{authenticated}	SELECT	has_store_access(store_id)	
public	customers	customers_update_own_store	PERMISSIVE	{authenticated}	UPDATE	has_store_access(store_id)	has_store_access(store_id)
public	devolution_items	devolution_items_insert	PERMISSIVE	{authenticated}	INSERT		(EXISTS ( SELECT 1 |    FROM devolutions d |   WHERE ((d.id = devolution_items.devolution_id) AND has_store_access(d.store_id))))
public	devolution_items	devolution_items_select	PERMISSIVE	{authenticated}	SELECT	(EXISTS ( SELECT 1 |    FROM devolutions d |   WHERE ((d.id = devolution_items.devolution_id) AND has_store_access(d.store_id))))	
public	devolutions	devolutions_insert_own_store	PERMISSIVE	{authenticated}	INSERT		has_store_access(store_id)
public	devolutions	devolutions_select_own_store	PERMISSIVE	{authenticated}	SELECT	has_store_access(store_id)	
public	devolutions	devolutions_tenant_insert_with_check	PERMISSIVE	{authenticated}	INSERT		(store_id = ANY (current_user_store_ids()))
public	devolutions	devolutions_update_own_store	PERMISSIVE	{authenticated}	UPDATE	has_store_access(store_id)	has_store_access(store_id)
public	document_sequences	document_sequences_select_admin	PERMISSIVE	{authenticated}	SELECT	(is_admin() OR has_store_access(store_id))	
public	fiscal_closings	fiscal_closings_insert	PERMISSIVE	{authenticated}	INSERT		has_store_access(store_id)
public	fiscal_closings	fiscal_closings_select	PERMISSIVE	{authenticated}	SELECT	has_store_access(store_id)	
public	fiscal_closings	fiscal_closings_update	PERMISSIVE	{authenticated}	UPDATE	has_store_access(store_id)	has_store_access(store_id)
public	inventory	inventory_tenant_select	PERMISSIVE	{authenticated}	SELECT	 | CASE |     WHEN (current_setting('app.use_tenant_rls'::text, true) = 'true'::text) THEN ((tenant_id = current_user_tenant_id()) AND (is_admin() OR (store_id = ANY (current_user_store_ids())))) |     ELSE (is_admin() OR has_store_access(store_id)) | END	
public	inventory_adjustments	inventory_adjustments_tenant_insert_with_check	PERMISSIVE	{authenticated}	INSERT		(store_id = ANY (current_user_store_ids()))
public	inventory_batches	Inventory batches access	PERMISSIVE	{authenticated}	SELECT	has_store_access(store_id)	
public	inventory_movements	inventory_movements_selective_read	PERMISSIVE	{authenticated}	SELECT	(is_admin() OR (user_id = auth.uid()) OR (EXISTS ( SELECT 1 |    FROM products p |   WHERE ((p.id = inventory_movements.product_id) AND has_store_access(p.store_id)))))	
public	inventory_reservations	inv_res_access	PERMISSIVE	{authenticated}	ALL	has_store_access(store_id)	has_store_access(store_id)
public	inventory_snapshots	Inventory snapshots access	PERMISSIVE	{authenticated}	SELECT	has_store_access(store_id)	
public	issue_slip_items	issue_slip_items_store_isolation	PERMISSIVE	{authenticated}	ALL	(slip_id IN ( SELECT issue_slips.id |    FROM issue_slips |   WHERE (issue_slips.store_id = ANY (current_user_store_ids()))))	(slip_id IN ( SELECT issue_slips.id |    FROM issue_slips |   WHERE (issue_slips.store_id = ANY (current_user_store_ids()))))
public	issue_slips	issue_slips_store_isolation	PERMISSIVE	{authenticated}	ALL	(store_id = ANY (current_user_store_ids()))	(store_id = ANY (current_user_store_ids()))
public	kardex_entries	kardex_entries_tenant_insert_with_check	PERMISSIVE	{authenticated}	INSERT		(store_id = ANY (current_user_store_ids()))
public	kardex_entries	kardex_insert_own_store	PERMISSIVE	{authenticated}	INSERT		has_store_access(store_id)
public	kardex_entries	kardex_select_own_store	PERMISSIVE	{authenticated}	SELECT	has_store_access(store_id)	
public	learning_cards	learning_cards_delete	PERMISSIVE	{authenticated}	DELETE	is_admin()	
public	learning_cards	learning_cards_insert	PERMISSIVE	{authenticated}	INSERT		is_admin()
public	learning_cards	learning_cards_update	PERMISSIVE	{authenticated}	UPDATE	is_admin()	
public	orphaned_users_log	orphaned_users_log_insert_admin	PERMISSIVE	{authenticated}	INSERT		is_admin()
public	orphaned_users_log	orphaned_users_log_select_admin	PERMISSIVE	{authenticated}	SELECT	is_admin()	
public	orphaned_users_log	orphaned_users_log_update_admin	PERMISSIVE	{authenticated}	UPDATE	is_admin()	is_admin()
public	payment_transactions	payment_transactions_delete_own_store	PERMISSIVE	{authenticated}	DELETE	has_store_access(store_id)	
public	payment_transactions	payment_transactions_insert_own_store	PERMISSIVE	{authenticated}	INSERT		has_store_access(store_id)
public	payment_transactions	payment_transactions_select_own_store	PERMISSIVE	{authenticated}	SELECT	has_store_access(store_id)	
public	payment_transactions	payment_transactions_tenant_insert_with_check	PERMISSIVE	{authenticated}	INSERT		(store_id = ANY (current_user_store_ids()))
public	payment_transactions	payment_transactions_update_own_store	PERMISSIVE	{authenticated}	UPDATE	has_store_access(store_id)	has_store_access(store_id)
public	physical_count_items	physical_count_items_via_count	PERMISSIVE	{authenticated}	ALL	(EXISTS ( SELECT 1 |    FROM physical_counts pc |   WHERE ((pc.id = physical_count_items.count_id) AND has_store_access(pc.store_id))))	
public	physical_counts	physical_counts_store_isolation	PERMISSIVE	{authenticated}	ALL	has_store_access(store_id)	
public	pick3_history	pick3_history_admin_manage	PERMISSIVE	{authenticated}	ALL	is_admin()	is_admin()
public	price_change_history	price_change_history_tenant_insert_with_check	PERMISSIVE	{authenticated}	INSERT		((tenant_id = current_user_tenant_id()) AND (store_id = ANY (current_user_store_ids())))
public	price_change_history	price_change_history_tenant_select	PERMISSIVE	{authenticated}	SELECT	 | CASE |     WHEN (current_setting('app.use_tenant_rls'::text, true) = 'true'::text) THEN ((tenant_id = current_user_tenant_id()) AND (is_admin() OR (store_id = ANY (current_user_store_ids())))) |     ELSE (is_admin() OR (store_id = ANY (current_user_store_ids()))) | END	
public	price_commit_log	price_commit_log_insert_admin	PERMISSIVE	{authenticated}	INSERT		(is_global_admin() OR has_store_role(NULL::uuid, ARRAY['admin'::text, 'manager'::text]))
public	product_cost_sheets	product_cost_sheets_insert_roles	PERMISSIVE	{authenticated}	INSERT		(is_global_admin() OR has_store_role(store_id, ARRAY['admin'::text, 'manager'::text, 'encargado'::text, 'costo'::text]))
public	product_cost_sheets	product_cost_sheets_update_roles	PERMISSIVE	{authenticated}	UPDATE	(is_global_admin() OR has_store_role(store_id, ARRAY['admin'::text, 'manager'::text, 'encargado'::text, 'costo'::text]))	(is_global_admin() OR has_store_role(store_id, ARRAY['admin'::text, 'manager'::text, 'encargado'::text, 'costo'::text]))
public	product_lots	lots_delete	PERMISSIVE	{authenticated}	DELETE	has_store_access(store_id)	
public	product_lots	lots_insert	PERMISSIVE	{authenticated}	INSERT		has_store_access(store_id)
public	product_lots	lots_select	PERMISSIVE	{authenticated}	SELECT	has_store_access(store_id)	
public	product_lots	lots_update	PERMISSIVE	{authenticated}	UPDATE	has_store_access(store_id)	
public	product_variants	Variants delete - member access	PERMISSIVE	{authenticated}	DELETE	(EXISTS ( SELECT 1 |    FROM products p |   WHERE ((p.id = product_variants.product_id) AND has_store_access(p.store_id))))	
public	product_variants	Variants insert - member access	PERMISSIVE	{authenticated}	INSERT		(EXISTS ( SELECT 1 |    FROM products p |   WHERE ((p.id = product_variants.product_id) AND has_store_access(p.store_id))))
public	product_variants	Variants store isolation	PERMISSIVE	{authenticated}	SELECT	(EXISTS ( SELECT 1 |    FROM products p |   WHERE ((p.id = product_variants.product_id) AND ((p.store_id IS NULL) OR has_store_access(p.store_id)))))	
public	product_variants	Variants update - member access	PERMISSIVE	{authenticated}	UPDATE	(EXISTS ( SELECT 1 |    FROM products p |   WHERE ((p.id = product_variants.product_id) AND has_store_access(p.store_id))))	(EXISTS ( SELECT 1 |    FROM products p |   WHERE ((p.id = product_variants.product_id) AND has_store_access(p.store_id))))
public	production_order_items	poi_delete_has_store_access	PERMISSIVE	{public}	DELETE	(EXISTS ( SELECT 1 |    FROM production_orders po |   WHERE ((po.id = production_order_items.order_id) AND has_store_access(po.store_id))))	
public	production_order_items	poi_insert_has_store_access	PERMISSIVE	{public}	INSERT		(EXISTS ( SELECT 1 |    FROM production_orders po |   WHERE ((po.id = production_order_items.order_id) AND has_store_access(po.store_id))))
public	production_order_items	poi_select_has_store_access	PERMISSIVE	{public}	SELECT	(EXISTS ( SELECT 1 |    FROM production_orders po |   WHERE ((po.id = production_order_items.order_id) AND has_store_access(po.store_id))))	
public	production_order_items	poi_update_has_store_access	PERMISSIVE	{public}	UPDATE	(EXISTS ( SELECT 1 |    FROM production_orders po |   WHERE ((po.id = production_order_items.order_id) AND has_store_access(po.store_id))))	
public	production_orders	po_delete_has_store_access	PERMISSIVE	{public}	DELETE	has_store_access(store_id)	
public	production_orders	po_insert_has_store_access	PERMISSIVE	{public}	INSERT		has_store_access(store_id)
public	production_orders	po_update_has_store_access	PERMISSIVE	{public}	UPDATE	has_store_access(store_id)	
public	production_orders	production_orders_tenant_select	PERMISSIVE	{authenticated}	SELECT	 | CASE |     WHEN (current_setting('app.use_tenant_rls'::text, true) = 'true'::text) THEN ((tenant_id = current_user_tenant_id()) AND (is_admin() OR (store_id = ANY (current_user_store_ids())))) |     ELSE (is_admin() OR (store_id = ANY (current_user_store_ids()))) | END	
public	products	products_tenant_delete	PERMISSIVE	{authenticated}	DELETE	 | CASE |     WHEN (current_setting('app.use_tenant_rls'::text, true) = 'true'::text) THEN ((tenant_id = current_user_tenant_id()) AND is_admin()) |     ELSE is_admin() | END	
public	products	products_tenant_insert	PERMISSIVE	{authenticated}	INSERT		((tenant_id = current_user_tenant_id()) AND (store_id = ANY (current_user_store_ids())))
public	products	products_tenant_select	PERMISSIVE	{authenticated}	SELECT	 | CASE |     WHEN (current_setting('app.use_tenant_rls'::text, true) = 'true'::text) THEN ((tenant_id = current_user_tenant_id()) AND (is_admin() OR (store_id = ANY (current_user_store_ids())))) |     ELSE (is_admin() OR has_store_access(store_id)) | END	
public	products	products_tenant_update	PERMISSIVE	{authenticated}	UPDATE	((tenant_id = current_user_tenant_id()) AND (is_admin() OR (store_id = ANY (current_user_store_ids()))))	((tenant_id = current_user_tenant_id()) AND (store_id = ANY (current_user_store_ids())))
public	profiles	profiles_delete_admin	PERMISSIVE	{authenticated}	DELETE	is_admin()	
public	profiles	profiles_insert_admin	PERMISSIVE	{authenticated}	INSERT		is_admin()
public	profiles	profiles_tenant_select	PERMISSIVE	{authenticated}	SELECT	 | CASE |     WHEN (current_setting('app.use_tenant_rls'::text, true) = 'true'::text) THEN ((id = auth.uid()) OR is_admin_with_access(active_store_id) OR (is_admin() AND (tenant_id = current_user_tenant_id()))) |     ELSE ((id = auth.uid()) OR is_admin() OR (created_by = auth.uid()) OR is_managed_user(id)) | END	
public	profiles	profiles_tenant_update	PERMISSIVE	{authenticated}	UPDATE	 | CASE |     WHEN (current_setting('app.use_tenant_rls'::text, true) = 'true'::text) THEN ((id = auth.uid()) OR (is_admin() AND (tenant_id = current_user_tenant_id()))) |     ELSE ((id = auth.uid()) OR is_admin()) | END	 | CASE |     WHEN (current_setting('app.use_tenant_rls'::text, true) = 'true'::text) THEN ((id = auth.uid()) OR (is_admin() AND (tenant_id = current_user_tenant_id()))) |     ELSE ((id = auth.uid()) OR is_admin()) | END
public	purchase_items	Purchase items access	PERMISSIVE	{authenticated}	SELECT	(EXISTS ( SELECT 1 |    FROM purchase_orders o |   WHERE ((o.id = purchase_items.purchase_order_id) AND has_store_access(o.store_id))))	
public	purchase_orders	Purchases unified	PERMISSIVE	{authenticated}	ALL	has_store_access(store_id)	
public	quotation_items	quotation_items_insert	PERMISSIVE	{authenticated}	INSERT		(EXISTS ( SELECT 1 |    FROM quotations q |   WHERE ((q.id = quotation_items.quotation_id) AND has_store_access(q.store_id))))
public	quotation_items	quotation_items_select	PERMISSIVE	{authenticated}	SELECT	(EXISTS ( SELECT 1 |    FROM quotations q |   WHERE ((q.id = quotation_items.quotation_id) AND has_store_access(q.store_id))))	
public	quotations	quotations_delete_own_store	PERMISSIVE	{authenticated}	DELETE	has_store_access(store_id)	
public	quotations	quotations_insert_own_store	PERMISSIVE	{authenticated}	INSERT		has_store_access(store_id)
public	quotations	quotations_select_own_store	PERMISSIVE	{authenticated}	SELECT	has_store_access(store_id)	
public	quotations	quotations_update_own_store	PERMISSIVE	{authenticated}	UPDATE	has_store_access(store_id)	has_store_access(store_id)
public	receipt_items	receipt_items_select_isolated	PERMISSIVE	{authenticated}	SELECT	(is_admin() OR (EXISTS ( SELECT 1 |    FROM receipts r |   WHERE ((r.id = receipt_items.receipt_id) AND (is_admin() OR has_store_access(r.store_id))))))	
public	receipt_tasa_audit	receipt_tasa_audit_insert_admin	PERMISSIVE	{authenticated}	INSERT		(is_global_admin() OR has_store_role(NULL::uuid, ARRAY['admin'::text, 'manager'::text]))
public	receipts	receipts_tenant_select	PERMISSIVE	{authenticated}	SELECT	 | CASE |     WHEN (current_setting('app.use_tenant_rls'::text, true) = 'true'::text) THEN ((tenant_id = current_user_tenant_id()) AND (is_admin() OR (store_id = ANY (current_user_store_ids())))) |     ELSE (is_admin() OR has_store_access(store_id)) | END	
public	receipts	receipts_tenant_update	PERMISSIVE	{authenticated}	UPDATE	 | CASE |     WHEN (current_setting('app.use_tenant_rls'::text, true) = 'true'::text) THEN ((tenant_id = current_user_tenant_id()) AND (is_admin() OR (store_id = ANY (current_user_store_ids())))) |     ELSE (is_admin() OR has_store_access(store_id)) | END	
public	received_services	received_services_delete_auth	PERMISSIVE	{public}	DELETE	(has_store_access(store_id) OR (EXISTS ( SELECT 1 |    FROM profiles |   WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'admin'::user_role)))))	
public	received_services	received_services_select_authenticated	PERMISSIVE	{authenticated}	SELECT	(has_store_access(store_id) OR (EXISTS ( SELECT 1 |    FROM profiles |   WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'admin'::user_role)))))	
public	received_services	received_services_update_auth	PERMISSIVE	{public}	UPDATE	(has_store_access(store_id) OR (EXISTS ( SELECT 1 |    FROM profiles |   WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'admin'::user_role)))))	
public	restore_sessions	restore_sessions_store_access	PERMISSIVE	{authenticated}	ALL	has_store_access(store_id)	has_store_access(store_id)
public	roles	Roles manage	PERMISSIVE	{authenticated}	ALL	( SELECT is_admin() AS is_admin)	
public	sale_items	sale_items_selective_read	PERMISSIVE	{authenticated}	SELECT	(is_admin() OR (EXISTS ( SELECT 1 |    FROM sales s |   WHERE ((s.id = sale_items.sale_id) AND ((s.cashier_id = auth.uid()) OR is_admin())))) OR (EXISTS ( SELECT 1 |    FROM products p |   WHERE ((p.id = sale_items.product_id) AND has_store_access(p.store_id)))))	
public	sales	sales_selective_read	PERMISSIVE	{authenticated}	SELECT	(is_admin() OR (cashier_id = auth.uid()) OR (EXISTS ( SELECT 1 |    FROM (sale_items si |      JOIN products p ON ((si.product_id = p.id))) |   WHERE ((si.sale_id = sales.id) AND has_store_access(p.store_id)))))	
public	sales_transactions	sales_transactions_tenant_select	PERMISSIVE	{authenticated}	SELECT	 | CASE |     WHEN (current_setting('app.use_tenant_rls'::text, true) = 'true'::text) THEN ((tenant_id = current_user_tenant_id()) AND (is_admin() OR (store_id = ANY (current_user_store_ids())))) |     ELSE (is_admin() OR (store_id = ANY (current_user_store_ids()))) | END	
public	service_audit_log	sal_select_authenticated	PERMISSIVE	{authenticated}	SELECT	(EXISTS ( SELECT 1 |    FROM received_services rs |   WHERE ((rs.id = service_audit_log.service_id) AND has_store_access(rs.store_id))))	
public	service_cost_distributions	scd_insert_authenticated	PERMISSIVE	{authenticated}	INSERT		(EXISTS ( SELECT 1 |    FROM received_services rs |   WHERE ((rs.id = service_cost_distributions.service_id) AND has_store_access(rs.store_id))))
public	service_cost_distributions	scd_select_authenticated	PERMISSIVE	{authenticated}	SELECT	(EXISTS ( SELECT 1 |    FROM received_services rs |   WHERE ((rs.id = service_cost_distributions.service_id) AND has_store_access(rs.store_id))))	
public	service_reception_links	srl_insert_authenticated	PERMISSIVE	{authenticated}	INSERT		(EXISTS ( SELECT 1 |    FROM received_services rs |   WHERE ((rs.id = service_reception_links.service_id) AND has_store_access(rs.store_id))))
public	service_reception_links	srl_select_authenticated	PERMISSIVE	{authenticated}	SELECT	(EXISTS ( SELECT 1 |    FROM received_services rs |   WHERE ((rs.id = service_reception_links.service_id) AND has_store_access(rs.store_id))))	
public	stock_movements	stock_movements_tenant_delete	PERMISSIVE	{authenticated}	DELETE	 | CASE |     WHEN (current_setting('app.use_tenant_rls'::text, true) = 'true'::text) THEN ((tenant_id = current_user_tenant_id()) AND is_admin()) |     ELSE false | END	
public	stock_movements	stock_movements_tenant_select	PERMISSIVE	{authenticated}	SELECT	 | CASE |     WHEN (current_setting('app.use_tenant_rls'::text, true) = 'true'::text) THEN ((tenant_id = current_user_tenant_id()) AND (is_admin() OR (store_id = ANY (current_user_store_ids())))) |     ELSE (is_admin() OR has_store_access(store_id)) | END	
public	store_cost_templates	store_cost_templates_delete_admin	PERMISSIVE	{authenticated}	DELETE	(is_global_admin() OR has_store_role(store_id, ARRAY['admin'::text]))	
public	store_cost_templates	store_cost_templates_insert_roles	PERMISSIVE	{authenticated}	INSERT		(is_global_admin() OR has_store_role(store_id, ARRAY['admin'::text, 'manager'::text, 'encargado'::text]))
public	store_cost_templates	store_cost_templates_update_roles	PERMISSIVE	{authenticated}	UPDATE	(is_global_admin() OR has_store_role(store_id, ARRAY['admin'::text, 'manager'::text, 'encargado'::text]))	(is_global_admin() OR has_store_role(store_id, ARRAY['admin'::text, 'manager'::text, 'encargado'::text]))
public	stores	stores_delete_admin_only	PERMISSIVE	{authenticated}	DELETE	(is_global_admin() OR has_store_role(id, ARRAY['admin'::text]))	
public	stores	stores_tenant_delete	PERMISSIVE	{authenticated}	DELETE	 | CASE |     WHEN (current_setting('app.use_tenant_rls'::text, true) = 'true'::text) THEN ((tenant_id = current_user_tenant_id()) AND is_admin()) |     ELSE is_admin() | END	
public	stores	stores_tenant_select	PERMISSIVE	{authenticated}	SELECT	 | CASE |     WHEN (current_setting('app.use_tenant_rls'::text, true) = 'true'::text) THEN (tenant_id = current_user_tenant_id()) |     ELSE (is_admin() OR (id = ANY (current_user_store_ids()))) | END	
public	stores	stores_tenant_update	PERMISSIVE	{authenticated}	UPDATE	 | CASE |     WHEN (current_setting('app.use_tenant_rls'::text, true) = 'true'::text) THEN ((tenant_id = current_user_tenant_id()) AND is_admin()) |     ELSE (is_admin() OR has_store_access(id)) | END	
public	stores	stores_update_member_roles	PERMISSIVE	{authenticated}	UPDATE	(is_global_admin() OR has_store_role(id, ARRAY['admin'::text, 'manager'::text, 'encargado'::text]))	(is_global_admin() OR has_store_role(id, ARRAY['admin'::text, 'manager'::text, 'encargado'::text]))
public	system_config	system_config_admin_manage	PERMISSIVE	{authenticated}	ALL	is_admin()	is_admin()
public	system_config	system_config_read_authenticated	PERMISSIVE	{authenticated}	SELECT	(is_admin() OR has_role('manager'::user_role))	
public	tax_configurations	Tax unified	PERMISSIVE	{authenticated}	ALL	has_store_access(store_id)	
public	tenants	tenants_delete_admin_only	PERMISSIVE	{authenticated}	DELETE	is_admin()	
public	tenants	tenants_insert_admin_only	PERMISSIVE	{authenticated}	INSERT		is_admin()
public	tenants	tenants_select_own_or_admin	PERMISSIVE	{authenticated}	SELECT	(is_admin() OR (owner_id = auth.uid()) OR (id = ( SELECT profiles.tenant_id |    FROM profiles |   WHERE (profiles.id = auth.uid()))))	
